step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,PAYMENT,9839.64,C1231006815,170136.0,160296.36,M1979787155,0.0,0.0,0,0
1,PAYMENT,1864.28,C1666544295,21249.0,19384.72,M2044282225,0.0,0.0,0,0
1,TRANSFER,181.00,C1305486145,181.0,0.0,C553264065,0.0,0.0,1,0
1,CASH_OUT,181.00,C840083671,181.0,0.0,C38997010,21182.0,0.0,1,0
1,PAYMENT,11668.14,C2048537720,41554.0,29885.86,M1230701703,0.0,0.0,0,0
2,CASH_IN,5000.00,C998877665,12000.0,17000.0,C112233445,3000.0,0.0,0,0
2,TRANSFER,250000.00,C1029384756,300000.0,50000.0,C564738291,120000.0,370000.0,0,0
2,CASH_OUT,250000.00,C564738291,370000.0,120000.0,C1029384756,50000.0,300000.0,0,0
3,TRANSFER,150000.00,C111111111,150000.0,0.0,C222222222,0.0,0.0,1,0
3,CASH_OUT,150000.00,C222222222,150000.0,0.0,C111111111,50000.0,0.0,1,0
3,PAYMENT,3200.50,C777777777,10000.0,6799.5,M999999999,0.0,0.0,0,0
4,DEBIT,245.00,C314159265,2000.0,1755.0,M271828182,0.0,0.0,0,0
4,CASH_IN,7000.00,C424242424,5000.0,12000.0,C565656565,800.0,0.0,0,0
4,PAYMENT,499.99,C123123123,7000.0,6500.01,M321321321,0.0,0.0,0,0
5,TRANSFER,98000.00,C888888888,100000.0,2000.0,C333333333,500.0,98500.0,0,0
5,CASH_OUT,98000.00,C333333333,98500.0,500.0,C888888888,2000.0,100000.0,0,0
5,TRANSFER,62000.00,C121212121,62000.0,0.0,C343434343,0.0,0.0,1,1
5,CASH_OUT,62000.00,C343434343,62000.0,0.0,C121212121,15000.0,0.0,1,0
6,PAYMENT,870.75,C454545454,9000.0,8129.25,M565656567,0.0,0.0,0,0
6,DEBIT,1200.00,C676767676,3000.0,1800.0,M787878787,0.0,0.0,0,0
